modulation,snr,detector,pd,pfa
bfsk,-15.0,cnn,1.0,1.0
bfsk,-15.0,fft_peak,0.926,0.616
bfsk,-15.0,iq_energy,0.088,0.01
bfsk,-15.0,probabilistic,0.016,0.006
bfsk,-12.857142857142858,cnn,1.0,1.0
bfsk,-12.857142857142858,fft_peak,0.99,0.59
bfsk,-12.857142857142858,iq_energy,0.246,0.01
bfsk,-12.857142857142858,probabilistic,0.036,0.008
bfsk,-10.714285714285715,cnn,1.0,1.0
bfsk,-10.714285714285715,fft_peak,1.0,0.58
bfsk,-10.714285714285715,iq_energy,0.614,0.012
bfsk,-10.714285714285715,probabilistic,0.06,0.01
bfsk,-8.571428571428571,cnn,1.0,1.0
bfsk,-8.571428571428571,fft_peak,1.0,0.592
bfsk,-8.571428571428571,iq_energy,0.974,0.018
bfsk,-8.571428571428571,probabilistic,0.126,0.016
bfsk,-6.428571428571429,cnn,1.0,1.0
bfsk,-6.428571428571429,fft_peak,1.0,0.574
bfsk,-6.428571428571429,iq_energy,1.0,0.018
bfsk,-6.428571428571429,probabilistic,0.262,0.012
bfsk,-4.2857142857142865,cnn,1.0,1.0
bfsk,-4.2857142857142865,fft_peak,1.0,0.624
bfsk,-4.2857142857142865,iq_energy,1.0,0.016
bfsk,-4.2857142857142865,probabilistic,0.592,0.008
bfsk,-2.1428571428571423,cnn,1.0,1.0
bfsk,-2.1428571428571423,fft_peak,1.0,0.604
bfsk,-2.1428571428571423,iq_energy,1.0,0.02
bfsk,-2.1428571428571423,probabilistic,0.876,0.016
bfsk,0.0,cnn,1.0,1.0
bfsk,0.0,fft_peak,1.0,0.61
bfsk,0.0,iq_energy,1.0,0.006
bfsk,0.0,probabilistic,0.996,0.016
bfsk,2.1428571428571423,cnn,1.0,1.0
bfsk,2.1428571428571423,fft_peak,1.0,0.516
bfsk,2.1428571428571423,iq_energy,1.0,0.018
bfsk,2.1428571428571423,probabilistic,1.0,0.012
bfsk,4.285714285714285,cnn,1.0,1.0
bfsk,4.285714285714285,fft_peak,1.0,0.574
bfsk,4.285714285714285,iq_energy,1.0,0.012
bfsk,4.285714285714285,probabilistic,1.0,0.018
bfsk,6.428571428571427,cnn,1.0,1.0
bfsk,6.428571428571427,fft_peak,1.0,0.574
bfsk,6.428571428571427,iq_energy,1.0,0.014
bfsk,6.428571428571427,probabilistic,1.0,0.012
bfsk,8.57142857142857,cnn,1.0,1.0
bfsk,8.57142857142857,fft_peak,1.0,0.616
bfsk,8.57142857142857,iq_energy,1.0,0.01
bfsk,8.57142857142857,probabilistic,1.0,0.01
bfsk,10.714285714285715,cnn,1.0,1.0
bfsk,10.714285714285715,fft_peak,1.0,0.538
bfsk,10.714285714285715,iq_energy,1.0,0.008
bfsk,10.714285714285715,probabilistic,1.0,0.008
bfsk,12.857142857142858,cnn,1.0,1.0
bfsk,12.857142857142858,fft_peak,1.0,0.596
bfsk,12.857142857142858,iq_energy,1.0,0.014
bfsk,12.857142857142858,probabilistic,1.0,0.008
bfsk,15.0,cnn,1.0,1.0
bfsk,15.0,fft_peak,1.0,0.596
bfsk,15.0,iq_energy,1.0,0.012
bfsk,15.0,probabilistic,1.0,0.014
bpsk,-15.0,cnn,1.0,1.0
bpsk,-15.0,fft_peak,0.87,0.582
bpsk,-15.0,iq_energy,0.096,0.01
bpsk,-15.0,probabilistic,0.026,0.014
bpsk,-12.857142857142858,cnn,1.0,1.0
bpsk,-12.857142857142858,fft_peak,0.97,0.584
bpsk,-12.857142857142858,iq_energy,0.242,0.014
bpsk,-12.857142857142858,probabilistic,0.03,0.008
bpsk,-10.714285714285715,cnn,1.0,1.0
bpsk,-10.714285714285715,fft_peak,1.0,0.566
bpsk,-10.714285714285715,iq_energy,0.6,0.004
bpsk,-10.714285714285715,probabilistic,0.046,0.006
bpsk,-8.571428571428571,cnn,1.0,1.0
bpsk,-8.571428571428571,fft_peak,1.0,0.594
bpsk,-8.571428571428571,iq_energy,0.966,0.006
bpsk,-8.571428571428571,probabilistic,0.11,0.006
bpsk,-6.428571428571429,cnn,1.0,1.0
bpsk,-6.428571428571429,fft_peak,1.0,0.57
bpsk,-6.428571428571429,iq_energy,1.0,0.008
bpsk,-6.428571428571429,probabilistic,0.28,0.012
bpsk,-4.2857142857142865,cnn,1.0,1.0
bpsk,-4.2857142857142865,fft_peak,1.0,0.606
bpsk,-4.2857142857142865,iq_energy,1.0,0.016
bpsk,-4.2857142857142865,probabilistic,0.582,0.004
bpsk,-2.1428571428571423,cnn,1.0,1.0
bpsk,-2.1428571428571423,fft_peak,1.0,0.558
bpsk,-2.1428571428571423,iq_energy,1.0,0.008
bpsk,-2.1428571428571423,probabilistic,0.898,0.014
bpsk,0.0,cnn,1.0,1.0
bpsk,0.0,fft_peak,1.0,0.572
bpsk,0.0,iq_energy,1.0,0.012
bpsk,0.0,probabilistic,0.992,0.016
bpsk,2.1428571428571423,cnn,1.0,1.0
bpsk,2.1428571428571423,fft_peak,1.0,0.634
bpsk,2.1428571428571423,iq_energy,1.0,0.01
bpsk,2.1428571428571423,probabilistic,1.0,0.006
bpsk,4.285714285714285,cnn,1.0,1.0
bpsk,4.285714285714285,fft_peak,1.0,0.566
bpsk,4.285714285714285,iq_energy,1.0,0.01
