         2633835 function calls (2585403 primitive calls) in 63.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.009    0.009   63.512   63.512 C:\Users\mehta\Desktop\Aeronotics\aegis-scan\scripts\run_phase21_benchmark_parallel.py:107(main)
      385   58.322    0.151   58.322    0.151 {method 'acquire' of '_thread.lock' objects}
       76    0.001    0.000   57.163    0.752 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:1160(__iter__)
       77    0.001    0.000   57.151    0.742 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\threading.py:611(wait)
       77    0.001    0.000   57.150    0.742 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\threading.py:295(wait)
       76    0.001    0.000   57.148    0.752 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\_base.py:199(as_completed)
        1    0.000    0.000    1.175    1.175 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000    1.175    1.175 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\process.py:842(shutdown)
        1    0.000    0.000    1.174    1.174 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\threading.py:1087(join)
        1    0.000    0.000    1.174    1.174 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\threading.py:1125(_wait_for_tstate_lock)
        2    0.000    0.000    0.889    0.444 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:1341(savefig)
        2    0.000    0.000    0.889    0.444 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:3360(savefig)
        2    0.000    0.000    0.888    0.444 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:2155(print_figure)
       75    0.001    0.000    0.878    0.012 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\process.py:788(submit)
       75    0.000    0.000    0.869    0.012 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\process.py:754(_adjust_process_count)
        4    0.000    0.000    0.868    0.217 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\process.py:777(_spawn_process)
        4    0.000    0.000    0.868    0.217 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py:110(start)
        4    0.000    0.000    0.868    0.217 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py:333(_Popen)
        4    0.000    0.000    0.866    0.216 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
        4    0.862    0.215    0.862    0.215 {built-in method _winapi.CreateProcess}
        3    0.000    0.000    0.805    0.268 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\util\_decorators.py:325(wrapper)
        2    0.000    0.000    0.805    0.403 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:3797(to_csv)
        2    0.000    0.000    0.805    0.402 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\io\formats\format.py:965(to_csv)
        2    0.000    0.000    0.800    0.400 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\io\formats\csvs.py:246(save)
        2    0.000    0.000    0.791    0.396 C:\Users\mehta\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\io\formats\csvs.py:272(_save)
