modulation,snr,detector,pd,pfa
bfsk,-15.0,cnn,1.0,1.0
bfsk,-15.0,fft_peak,0.912,0.594
bfsk,-15.0,iq_energy,0.088,0.004
bfsk,-15.0,probabilistic,0.02,0.016
bfsk,-12.857142857142858,cnn,1.0,1.0
bfsk,-12.857142857142858,fft_peak,0.986,0.564
bfsk,-12.857142857142858,iq_energy,0.266,0.012
bfsk,-12.857142857142858,probabilistic,0.038,0.016
bfsk,-10.714285714285715,cnn,1.0,1.0
bfsk,-10.714285714285715,fft_peak,1.0,0.59
bfsk,-10.714285714285715,iq_energy,0.604,0.012
bfsk,-10.714285714285715,probabilistic,0.066,0.016
bfsk,-8.571428571428571,cnn,1.0,1.0
bfsk,-8.571428571428571,fft_peak,1.0,0.582
bfsk,-8.571428571428571,iq_energy,0.956,0.008
bfsk,-8.571428571428571,probabilistic,0.116,0.01
bfsk,-6.428571428571429,cnn,1.0,1.0
bfsk,-6.428571428571429,fft_peak,1.0,0.572
bfsk,-6.428571428571429,iq_energy,1.0,0.008
bfsk,-6.428571428571429,probabilistic,0.282,0.01
bfsk,-4.2857142857142865,cnn,1.0,1.0
bfsk,-4.2857142857142865,fft_peak,1.0,0.546
bfsk,-4.2857142857142865,iq_energy,1.0,0.01
bfsk,-4.2857142857142865,probabilistic,0.584,0.01
bfsk,-2.1428571428571423,cnn,1.0,1.0
bfsk,-2.1428571428571423,fft_peak,1.0,0.594
bfsk,-2.1428571428571423,iq_energy,1.0,0.012
bfsk,-2.1428571428571423,probabilistic,0.892,0.01
bfsk,0.0,cnn,1.0,1.0
bfsk,0.0,fft_peak,1.0,0.552
bfsk,0.0,iq_energy,1.0,0.014
bfsk,0.0,probabilistic,0.988,0.01
bfsk,2.1428571428571423,cnn,1.0,1.0
bfsk,2.1428571428571423,fft_peak,1.0,0.566
bfsk,2.1428571428571423,iq_energy,1.0,0.018
bfsk,2.1428571428571423,probabilistic,1.0,0.01
bfsk,4.285714285714285,cnn,1.0,1.0
bfsk,4.285714285714285,fft_peak,1.0,0.548
bfsk,4.285714285714285,iq_energy,1.0,0.014
bfsk,4.285714285714285,probabilistic,1.0,0.01
bfsk,6.428571428571427,cnn,1.0,1.0
bfsk,6.428571428571427,fft_peak,1.0,0.574
bfsk,6.428571428571427,iq_energy,1.0,0.012
bfsk,6.428571428571427,probabilistic,1.0,0.01
bfsk,8.57142857142857,cnn,1.0,1.0
bfsk,8.57142857142857,fft_peak,1.0,0.606
bfsk,8.57142857142857,iq_energy,1.0,0.004
bfsk,8.57142857142857,probabilistic,1.0,0.004
bfsk,10.714285714285715,cnn,1.0,1.0
bfsk,10.714285714285715,fft_peak,1.0,0.578
bfsk,10.714285714285715,iq_energy,1.0,0.018
bfsk,10.714285714285715,probabilistic,1.0,0.004
bfsk,12.857142857142858,cnn,1.0,1.0
bfsk,12.857142857142858,fft_peak,1.0,0.622
bfsk,12.857142857142858,iq_energy,1.0,0.022
bfsk,12.857142857142858,probabilistic,1.0,0.004
bfsk,15.0,cnn,1.0,1.0
bfsk,15.0,fft_peak,1.0,0.592
bfsk,15.0,iq_energy,1.0,0.01
bfsk,15.0,probabilistic,1.0,0.004
bpsk,-15.0,cnn,1.0,1.0
bpsk,-15.0,fft_peak,0.858,0.592
bpsk,-15.0,iq_energy,0.102,0.004
bpsk,-15.0,probabilistic,0.028,0.006
bpsk,-12.857142857142858,cnn,1.0,1.0
bpsk,-12.857142857142858,fft_peak,0.98,0.558
bpsk,-12.857142857142858,iq_energy,0.264,0.008
bpsk,-12.857142857142858,probabilistic,0.026,0.014
bpsk,-10.714285714285715,cnn,1.0,1.0
bpsk,-10.714285714285715,fft_peak,0.998,0.602
bpsk,-10.714285714285715,iq_energy,0.644,0.012
bpsk,-10.714285714285715,probabilistic,0.05,0.014
bpsk,-8.571428571428571,cnn,1.0,1.0
bpsk,-8.571428571428571,fft_peak,1.0,0.622
bpsk,-8.571428571428571,iq_energy,0.952,0.01
bpsk,-8.571428571428571,probabilistic,0.124,0.014
bpsk,-6.428571428571429,cnn,1.0,1.0
bpsk,-6.428571428571429,fft_peak,1.0,0.546
bpsk,-6.428571428571429,iq_energy,1.0,0.01
bpsk,-6.428571428571429,probabilistic,0.282,0.014
bpsk,-4.2857142857142865,cnn,1.0,1.0
bpsk,-4.2857142857142865,fft_peak,1.0,0.562
bpsk,-4.2857142857142865,iq_energy,1.0,0.006
bpsk,-4.2857142857142865,probabilistic,0.624,0.006
bpsk,-2.1428571428571423,cnn,1.0,1.0
bpsk,-2.1428571428571423,fft_peak,1.0,0.59
bpsk,-2.1428571428571423,iq_energy,1.0,0.004
bpsk,-2.1428571428571423,probabilistic,0.884,0.006
bpsk,0.0,cnn,1.0,1.0
bpsk,0.0,fft_peak,1.0,0.576
bpsk,0.0,iq_energy,1.0,0.01
bpsk,0.0,probabilistic,0.996,0.006
bpsk,2.1428571428571423,cnn,1.0,1.0
bpsk,2.1428571428571423,fft_peak,1.0,0.584
bpsk,2.1428571428571423,iq_energy,1.0,0.01
bpsk,2.1428571428571423,probabilistic,1.0,0.006
bpsk,4.285714285714285,cnn,1.0,1.0
bpsk,4.285714285714285,fft_peak,1.0,0.608
bpsk,4.285714285714285,iq_energy,1.0,0.002
bpsk,4.285714285714285,probabilistic,1.0,0.016
bpsk,6.428571428571427,cnn,1.0,1.0
bpsk,6.428571428571427,fft_peak,1.0,0.604
bpsk,6.428571428571427,iq_energy,1.0,0.01
bpsk,6.428571428571427,probabilistic,1.0,0.016
bpsk,8.57142857142857,cnn,1.0,1.0
bpsk,8.57142857142857,fft_peak,1.0,0.564
bpsk,8.57142857142857,iq_energy,1.0,0.012
bpsk,8.57142857142857,probabilistic,1.0,0.016
bpsk,10.714285714285715,cnn,1.0,1.0
bpsk,10.714285714285715,fft_peak,1.0,0.544
bpsk,10.714285714285715,iq_energy,1.0,0.014
bpsk,10.714285714285715,probabilistic,1.0,0.016
bpsk,12.857142857142858,cnn,1.0,1.0
bpsk,12.857142857142858,fft_peak,1.0,0.59
bpsk,12.857142857142858,iq_energy,1.0,0.0
bpsk,12.857142857142858,probabilistic,1.0,0.016
bpsk,15.0,cnn,1.0,1.0
bpsk,15.0,fft_peak,1.0,0.6
bpsk,15.0,iq_energy,1.0,0.014
bpsk,15.0,probabilistic,1.0,0.016
cw,-15.0,cnn,1.0,1.0
cw,-15.0,fft_peak,1.0,0.586
cw,-15.0,iq_energy,0.1,0.01
cw,-15.0,probabilistic,0.024,0.002
cw,-12.857142857142858,cnn,1.0,1.0
cw,-12.857142857142858,fft_peak,1.0,0.566
cw,-12.857142857142858,iq_energy,0.29,0.01
cw,-12.857142857142858,probabilistic,0.036,0.002
cw,-10.714285714285715,cnn,1.0,1.0
cw,-10.714285714285715,fft_peak,1.0,0.556
cw,-10.714285714285715,iq_energy,0.6,0.002
cw,-10.714285714285715,probabilistic,0.066,0.002
cw,-8.571428571428571,cnn,1.0,1.0
cw,-8.571428571428571,fft_peak,1.0,0.574
cw,-8.571428571428571,iq_energy,0.96,0.01
cw,-8.571428571428571,probabilistic,0.158,0.002
cw,-6.428571428571429,cnn,1.0,1.0
cw,-6.428571428571429,fft_peak,1.0,0.654
cw,-6.428571428571429,iq_energy,1.0,0.006
cw,-6.428571428571429,probabilistic,0.284,0.008
cw,-4.2857142857142865,cnn,1.0,1.0
cw,-4.2857142857142865,fft_peak,1.0,0.576
cw,-4.2857142857142865,iq_energy,1.0,0.004
cw,-4.2857142857142865,probabilistic,0.538,0.008
cw,-2.1428571428571423,cnn,1.0,1.0
cw,-2.1428571428571423,fft_peak,1.0,0.55
cw,-2.1428571428571423,iq_energy,1.0,0.016
cw,-2.1428571428571423,probabilistic,0.89,0.008
cw,0.0,cnn,1.0,1.0
cw,0.0,fft_peak,1.0,0.57
cw,0.0,iq_energy,1.0,0.004
cw,0.0,probabilistic,0.988,0.008
cw,2.1428571428571423,cnn,1.0,1.0
cw,2.1428571428571423,fft_peak,1.0,0.582
cw,2.1428571428571423,iq_energy,1.0,0.014
cw,2.1428571428571423,probabilistic,1.0,0.02
cw,4.285714285714285,cnn,1.0,1.0
cw,4.285714285714285,fft_peak,1.0,0.568
cw,4.285714285714285,iq_energy,1.0,0.018
cw,4.285714285714285,probabilistic,1.0,0.02
cw,6.428571428571427,cnn,1.0,1.0
cw,6.428571428571427,fft_peak,1.0,0.586
cw,6.428571428571427,iq_energy,1.0,0.01
cw,6.428571428571427,probabilistic,1.0,0.02
cw,8.57142857142857,cnn,1.0,1.0
cw,8.57142857142857,fft_peak,1.0,0.61
cw,8.57142857142857,iq_energy,1.0,0.01
cw,8.57142857142857,probabilistic,1.0,0.02
cw,10.714285714285715,cnn,1.0,1.0
cw,10.714285714285715,fft_peak,1.0,0.588
cw,10.714285714285715,iq_energy,1.0,0.01
cw,10.714285714285715,probabilistic,1.0,0.006
cw,12.857142857142858,cnn,1.0,1.0
cw,12.857142857142858,fft_peak,1.0,0.594
cw,12.857142857142858,iq_energy,1.0,0.006
cw,12.857142857142858,probabilistic,1.0,0.006
cw,15.0,cnn,1.0,1.0
cw,15.0,fft_peak,1.0,0.576
cw,15.0,iq_energy,1.0,0.018
cw,15.0,probabilistic,1.0,0.006
fmcw,-15.0,cnn,1.0,1.0
fmcw,-15.0,fft_peak,0.61,0.606
fmcw,-15.0,iq_energy,0.1,0.016
fmcw,-15.0,probabilistic,0.026,0.014
fmcw,-12.857142857142858,cnn,1.0,1.0
fmcw,-12.857142857142858,fft_peak,0.704,0.594
fmcw,-12.857142857142858,iq_energy,0.286,0.014
fmcw,-12.857142857142858,probabilistic,0.044,0.014
fmcw,-10.714285714285715,cnn,1.0,1.0
fmcw,-10.714285714285715,fft_peak,0.856,0.608
fmcw,-10.714285714285715,iq_energy,0.624,0.008
fmcw,-10.714285714285715,probabilistic,0.068,0.014
fmcw,-8.571428571428571,cnn,1.0,1.0
fmcw,-8.571428571428571,fft_peak,0.968,0.584
fmcw,-8.571428571428571,iq_energy,0.974,0.018
fmcw,-8.571428571428571,probabilistic,0.136,0.014
fmcw,-6.428571428571429,cnn,1.0,1.0
fmcw,-6.428571428571429,fft_peak,0.996,0.59
fmcw,-6.428571428571429,iq_energy,1.0,0.008
fmcw,-6.428571428571429,probabilistic,0.26,0.008
fmcw,-4.2857142857142865,cnn,1.0,1.0
fmcw,-4.2857142857142865,fft_peak,1.0,0.586
fmcw,-4.2857142857142865,iq_energy,1.0,0.014
fmcw,-4.2857142857142865,probabilistic,0.588,0.008
fmcw,-2.1428571428571423,cnn,1.0,1.0
fmcw,-2.1428571428571423,fft_peak,1.0,0.594
fmcw,-2.1428571428571423,iq_energy,1.0,0.008
fmcw,-2.1428571428571423,probabilistic,0.876,0.008
fmcw,0.0,cnn,1.0,1.0
fmcw,0.0,fft_peak,1.0,0.62
fmcw,0.0,iq_energy,1.0,0.012
fmcw,0.0,probabilistic,0.984,0.008
fmcw,2.1428571428571423,cnn,1.0,1.0
fmcw,2.1428571428571423,fft_peak,1.0,0.58
fmcw,2.1428571428571423,iq_energy,1.0,0.008
fmcw,2.1428571428571423,probabilistic,1.0,0.006
fmcw,4.285714285714285,cnn,1.0,1.0
fmcw,4.285714285714285,fft_peak,1.0,0.594
fmcw,4.285714285714285,iq_energy,1.0,0.004
fmcw,4.285714285714285,probabilistic,1.0,0.006
fmcw,6.428571428571427,cnn,1.0,1.0
fmcw,6.428571428571427,fft_peak,1.0,0.534
fmcw,6.428571428571427,iq_energy,1.0,0.012
fmcw,6.428571428571427,probabilistic,1.0,0.006
fmcw,8.57142857142857,cnn,1.0,1.0
fmcw,8.57142857142857,fft_peak,1.0,0.624
fmcw,8.57142857142857,iq_energy,1.0,0.004
fmcw,8.57142857142857,probabilistic,1.0,0.006
fmcw,10.714285714285715,cnn,1.0,1.0
fmcw,10.714285714285715,fft_peak,1.0,0.616
fmcw,10.714285714285715,iq_energy,1.0,0.012
fmcw,10.714285714285715,probabilistic,1.0,0.006
fmcw,12.857142857142858,cnn,1.0,1.0
fmcw,12.857142857142858,fft_peak,1.0,0.584
fmcw,12.857142857142858,iq_energy,1.0,0.008
fmcw,12.857142857142858,probabilistic,1.0,0.006
fmcw,15.0,cnn,1.0,1.0
fmcw,15.0,fft_peak,1.0,0.594
fmcw,15.0,iq_energy,1.0,0.012
fmcw,15.0,probabilistic,1.0,0.006
qpsk,-15.0,cnn,1.0,1.0
qpsk,-15.0,fft_peak,0.866,0.59
qpsk,-15.0,iq_energy,0.124,0.02
qpsk,-15.0,probabilistic,0.014,0.016
qpsk,-12.857142857142858,cnn,1.0,1.0
qpsk,-12.857142857142858,fft_peak,0.978,0.554
qpsk,-12.857142857142858,iq_energy,0.244,0.006
qpsk,-12.857142857142858,probabilistic,0.022,0.016
qpsk,-10.714285714285715,cnn,1.0,1.0
qpsk,-10.714285714285715,fft_peak,1.0,0.576
qpsk,-10.714285714285715,iq_energy,0.636,0.012
qpsk,-10.714285714285715,probabilistic,0.06,0.012
qpsk,-8.571428571428571,cnn,1.0,1.0
qpsk,-8.571428571428571,fft_peak,1.0,0.562
qpsk,-8.571428571428571,iq_energy,0.98,0.002
qpsk,-8.571428571428571,probabilistic,0.12,0.012
qpsk,-6.428571428571429,cnn,1.0,1.0
qpsk,-6.428571428571429,fft_peak,1.0,0.564
qpsk,-6.428571428571429,iq_energy,1.0,0.01
qpsk,-6.428571428571429,probabilistic,0.294,0.012
qpsk,-4.2857142857142865,cnn,1.0,1.0
qpsk,-4.2857142857142865,fft_peak,1.0,0.628
qpsk,-4.2857142857142865,iq_energy,1.0,0.01
qpsk,-4.2857142857142865,probabilistic,0.614,0.012
qpsk,-2.1428571428571423,cnn,1.0,1.0
qpsk,-2.1428571428571423,fft_peak,1.0,0.604
qpsk,-2.1428571428571423,iq_energy,1.0,0.008
qpsk,-2.1428571428571423,probabilistic,0.898,0.01
qpsk,0.0,cnn,1.0,1.0
qpsk,0.0,fft_peak,1.0,0.57
qpsk,0.0,iq_energy,1.0,0.012
qpsk,0.0,probabilistic,0.994,0.01
qpsk,2.1428571428571423,cnn,1.0,1.0
qpsk,2.1428571428571423,fft_peak,1.0,0.596
qpsk,2.1428571428571423,iq_energy,1.0,0.014
qpsk,2.1428571428571423,probabilistic,1.0,0.01
qpsk,4.285714285714285,cnn,1.0,1.0
qpsk,4.285714285714285,fft_peak,1.0,0.592
qpsk,4.285714285714285,iq_energy,1.0,0.016
qpsk,4.285714285714285,probabilistic,1.0,0.01
qpsk,6.428571428571427,cnn,1.0,1.0
qpsk,6.428571428571427,fft_peak,1.0,0.612
qpsk,6.428571428571427,iq_energy,1.0,0.014
qpsk,6.428571428571427,probabilistic,1.0,0.008
qpsk,8.57142857142857,cnn,1.0,1.0
qpsk,8.57142857142857,fft_peak,1.0,0.602
qpsk,8.57142857142857,iq_energy,1.0,0.014
qpsk,8.57142857142857,probabilistic,1.0,0.008
qpsk,10.714285714285715,cnn,1.0,1.0
qpsk,10.714285714285715,fft_peak,1.0,0.59
qpsk,10.714285714285715,iq_energy,1.0,0.018
