modulation,snr,detector,pd,pfa
bfsk,-15.0,cnn,1.0,1.0
bfsk,-15.0,fft_peak,0.912,0.574
bfsk,-15.0,iq_energy,0.07,0.012
bfsk,-15.0,probabilistic,0.02,0.016
bfsk,-12.857142857142858,cnn,1.0,1.0
bfsk,-12.857142857142858,fft_peak,0.986,0.542
bfsk,-12.857142857142858,iq_energy,0.25,0.004
bfsk,-12.857142857142858,probabilistic,0.038,0.016
bfsk,-10.714285714285715,cnn,1.0,1.0
bfsk,-10.714285714285715,fft_peak,1.0,0.58
bfsk,-10.714285714285715,iq_energy,0.622,0.01
bfsk,-10.714285714285715,probabilistic,0.066,0.016
bfsk,-8.571428571428571,cnn,1.0,1.0
bfsk,-8.571428571428571,fft_peak,1.0,0.562
bfsk,-8.571428571428571,iq_energy,0.97,0.006
bfsk,-8.571428571428571,probabilistic,0.116,0.01
bfsk,-6.428571428571429,cnn,1.0,1.0
bfsk,-6.428571428571429,fft_peak,1.0,0.604
bfsk,-6.428571428571429,iq_energy,1.0,0.014
bfsk,-6.428571428571429,probabilistic,0.282,0.01
bfsk,-4.2857142857142865,cnn,1.0,1.0
bfsk,-4.2857142857142865,fft_peak,1.0,0.6
bfsk,-4.2857142857142865,iq_energy,1.0,0.004
bfsk,-4.2857142857142865,probabilistic,0.584,0.01
bfsk,-2.1428571428571423,cnn,1.0,1.0
bfsk,-2.1428571428571423,fft_peak,1.0,0.582
bfsk,-2.1428571428571423,iq_energy,1.0,0.016
bfsk,-2.1428571428571423,probabilistic,0.892,0.01
bfsk,0.0,cnn,1.0,1.0
bfsk,0.0,fft_peak,1.0,0.626
bfsk,0.0,iq_energy,1.0,0.012
bfsk,0.0,probabilistic,0.988,0.01
bfsk,2.1428571428571423,cnn,1.0,1.0
bfsk,2.1428571428571423,fft_peak,1.0,0.578
bfsk,2.1428571428571423,iq_energy,1.0,0.016
bfsk,2.1428571428571423,probabilistic,1.0,0.01
bfsk,4.285714285714285,cnn,1.0,1.0
bfsk,4.285714285714285,fft_peak,1.0,0.584
bfsk,4.285714285714285,iq_energy,1.0,0.006
bfsk,4.285714285714285,probabilistic,1.0,0.01
bfsk,6.428571428571427,cnn,1.0,1.0
bfsk,6.428571428571427,fft_peak,1.0,0.572
bfsk,6.428571428571427,iq_energy,1.0,0.006
bfsk,6.428571428571427,probabilistic,1.0,0.01
bfsk,8.57142857142857,cnn,1.0,1.0
bfsk,8.57142857142857,fft_peak,1.0,0.584
bfsk,8.57142857142857,iq_energy,1.0,0.004
bfsk,8.57142857142857,probabilistic,1.0,0.004
bfsk,10.714285714285715,cnn,1.0,1.0
bfsk,10.714285714285715,fft_peak,1.0,0.61
bfsk,10.714285714285715,iq_energy,1.0,0.004
bfsk,10.714285714285715,probabilistic,1.0,0.004
bfsk,12.857142857142858,cnn,1.0,1.0
bfsk,12.857142857142858,fft_peak,1.0,0.57
bfsk,12.857142857142858,iq_energy,1.0,0.008
bfsk,12.857142857142858,probabilistic,1.0,0.004
bfsk,15.0,cnn,1.0,1.0
bfsk,15.0,fft_peak,1.0,0.544
bfsk,15.0,iq_energy,1.0,0.01
bfsk,15.0,probabilistic,1.0,0.004
bpsk,-15.0,cnn,1.0,1.0
bpsk,-15.0,fft_peak,0.868,0.56
bpsk,-15.0,iq_energy,0.082,0.02
bpsk,-15.0,probabilistic,0.028,0.006
bpsk,-12.857142857142858,cnn,1.0,1.0
bpsk,-12.857142857142858,fft_peak,0.97,0.61
bpsk,-12.857142857142858,iq_energy,0.238,0.01
bpsk,-12.857142857142858,probabilistic,0.026,0.014
bpsk,-10.714285714285715,cnn,1.0,1.0
bpsk,-10.714285714285715,fft_peak,1.0,0.594
bpsk,-10.714285714285715,iq_energy,0.6,0.008
bpsk,-10.714285714285715,probabilistic,0.05,0.014
bpsk,-8.571428571428571,cnn,1.0,1.0
bpsk,-8.571428571428571,fft_peak,1.0,0.564
bpsk,-8.571428571428571,iq_energy,0.96,0.008
bpsk,-8.571428571428571,probabilistic,0.124,0.014
bpsk,-6.428571428571429,cnn,1.0,1.0
bpsk,-6.428571428571429,fft_peak,1.0,0.592
bpsk,-6.428571428571429,iq_energy,1.0,0.02
bpsk,-6.428571428571429,probabilistic,0.282,0.014
bpsk,-4.2857142857142865,cnn,1.0,1.0
bpsk,-4.2857142857142865,fft_peak,1.0,0.576
bpsk,-4.2857142857142865,iq_energy,1.0,0.014
bpsk,-4.2857142857142865,probabilistic,0.624,0.006
bpsk,-2.1428571428571423,cnn,1.0,1.0
bpsk,-2.1428571428571423,fft_peak,1.0,0.596
bpsk,-2.1428571428571423,iq_energy,1.0,0.008
bpsk,-2.1428571428571423,probabilistic,0.884,0.006
bpsk,0.0,cnn,1.0,1.0
bpsk,0.0,fft_peak,1.0,0.598
bpsk,0.0,iq_energy,1.0,0.004
bpsk,0.0,probabilistic,0.996,0.006
bpsk,2.1428571428571423,cnn,1.0,1.0
bpsk,2.1428571428571423,fft_peak,1.0,0.588
bpsk,2.1428571428571423,iq_energy,1.0,0.01
bpsk,2.1428571428571423,probabilistic,1.0,0.006
bpsk,4.285714285714285,cnn,1.0,1.0
bpsk,4.285714285714285,fft_peak,1.0,0.596
bpsk,4.285714285714285,iq_energy,1.0,0.018
bpsk,4.285714285714285,probabilistic,1.0,0.016
bpsk,6.428571428571427,cnn,1.0,1.0
bpsk,6.428571428571427,fft_peak,1.0,0.544
bpsk,6.428571428571427,iq_energy,1.0,0.016
bpsk,6.428571428571427,probabilistic,1.0,0.016
bpsk,8.57142857142857,cnn,1.0,1.0
bpsk,8.57142857142857,fft_peak,1.0,0.594
bpsk,8.57142857142857,iq_energy,1.0,0.01
bpsk,8.57142857142857,probabilistic,1.0,0.016
bpsk,10.714285714285715,cnn,1.0,1.0
bpsk,10.714285714285715,fft_peak,1.0,0.558
bpsk,10.714285714285715,iq_energy,1.0,0.016
bpsk,10.714285714285715,probabilistic,1.0,0.016
bpsk,12.857142857142858,cnn,1.0,1.0
bpsk,12.857142857142858,fft_peak,1.0,0.574
bpsk,12.857142857142858,iq_energy,1.0,0.004
bpsk,12.857142857142858,probabilistic,1.0,0.016
bpsk,15.0,cnn,1.0,1.0
bpsk,15.0,fft_peak,1.0,0.58
bpsk,15.0,iq_energy,1.0,0.01
bpsk,15.0,probabilistic,1.0,0.016
cw,-15.0,cnn,1.0,1.0
cw,-15.0,fft_peak,1.0,0.588
cw,-15.0,iq_energy,0.106,0.014
cw,-15.0,probabilistic,0.024,0.002
cw,-12.857142857142858,cnn,1.0,1.0
cw,-12.857142857142858,fft_peak,1.0,0.62
cw,-12.857142857142858,iq_energy,0.244,0.024
cw,-12.857142857142858,probabilistic,0.036,0.002
cw,-10.714285714285715,cnn,1.0,1.0
cw,-10.714285714285715,fft_peak,1.0,0.606
cw,-10.714285714285715,iq_energy,0.608,0.008
cw,-10.714285714285715,probabilistic,0.066,0.002
cw,-8.571428571428571,cnn,1.0,1.0
cw,-8.571428571428571,fft_peak,1.0,0.58
cw,-8.571428571428571,iq_energy,0.964,0.01
cw,-8.571428571428571,probabilistic,0.158,0.002
cw,-6.428571428571429,cnn,1.0,1.0
cw,-6.428571428571429,fft_peak,1.0,0.628
cw,-6.428571428571429,iq_energy,1.0,0.016
cw,-6.428571428571429,probabilistic,0.284,0.008
cw,-4.2857142857142865,cnn,1.0,1.0
cw,-4.2857142857142865,fft_peak,1.0,0.596
cw,-4.2857142857142865,iq_energy,1.0,0.008
cw,-4.2857142857142865,probabilistic,0.538,0.008
cw,-2.1428571428571423,cnn,1.0,1.0
cw,-2.1428571428571423,fft_peak,1.0,0.566
cw,-2.1428571428571423,iq_energy,1.0,0.006
cw,-2.1428571428571423,probabilistic,0.89,0.008
cw,0.0,cnn,1.0,1.0
cw,0.0,fft_peak,1.0,0.608
cw,0.0,iq_energy,1.0,0.02
cw,0.0,probabilistic,0.988,0.008
cw,2.1428571428571423,cnn,1.0,1.0
cw,2.1428571428571423,fft_peak,1.0,0.592
cw,2.1428571428571423,iq_energy,1.0,0.008
cw,2.1428571428571423,probabilistic,1.0,0.02
cw,4.285714285714285,cnn,1.0,1.0
cw,4.285714285714285,fft_peak,1.0,0.584
cw,4.285714285714285,iq_energy,1.0,0.002
cw,4.285714285714285,probabilistic,1.0,0.02
cw,6.428571428571427,cnn,1.0,1.0
cw,6.428571428571427,fft_peak,1.0,0.6
cw,6.428571428571427,iq_energy,1.0,0.006
cw,6.428571428571427,probabilistic,1.0,0.02
cw,8.57142857142857,cnn,1.0,1.0
cw,8.57142857142857,fft_peak,1.0,0.574
cw,8.57142857142857,iq_energy,1.0,0.012
cw,8.57142857142857,probabilistic,1.0,0.02
cw,10.714285714285715,cnn,1.0,1.0
cw,10.714285714285715,fft_peak,1.0,0.592
cw,10.714285714285715,iq_energy,1.0,0.006
cw,10.714285714285715,probabilistic,1.0,0.006
cw,12.857142857142858,cnn,1.0,1.0
cw,12.857142857142858,fft_peak,1.0,0.6
cw,12.857142857142858,iq_energy,1.0,0.01
cw,12.857142857142858,probabilistic,1.0,0.006
cw,15.0,cnn,1.0,1.0
cw,15.0,fft_peak,1.0,0.588
cw,15.0,iq_energy,1.0,0.012
cw,15.0,probabilistic,1.0,0.006
fmcw,-15.0,cnn,1.0,1.0
fmcw,-15.0,fft_peak,0.64,0.576
fmcw,-15.0,iq_energy,0.096,0.014
fmcw,-15.0,probabilistic,0.026,0.014
fmcw,-12.857142857142858,cnn,1.0,1.0
fmcw,-12.857142857142858,fft_peak,0.716,0.61
fmcw,-12.857142857142858,iq_energy,0.184,0.016
fmcw,-12.857142857142858,probabilistic,0.044,0.014
fmcw,-10.714285714285715,cnn,1.0,1.0
fmcw,-10.714285714285715,fft_peak,0.842,0.594
fmcw,-10.714285714285715,iq_energy,0.642,0.018
fmcw,-10.714285714285715,probabilistic,0.068,0.014
fmcw,-8.571428571428571,cnn,1.0,1.0
fmcw,-8.571428571428571,fft_peak,0.98,0.608
fmcw,-8.571428571428571,iq_energy,0.968,0.014
fmcw,-8.571428571428571,probabilistic,0.136,0.014
fmcw,-6.428571428571429,cnn,1.0,1.0
fmcw,-6.428571428571429,fft_peak,1.0,0.598
fmcw,-6.428571428571429,iq_energy,1.0,0.018
fmcw,-6.428571428571429,probabilistic,0.26,0.008
fmcw,-4.2857142857142865,cnn,1.0,1.0
fmcw,-4.2857142857142865,fft_peak,1.0,0.604
fmcw,-4.2857142857142865,iq_energy,1.0,0.004
fmcw,-4.2857142857142865,probabilistic,0.588,0.008
fmcw,-2.1428571428571423,cnn,1.0,1.0
fmcw,-2.1428571428571423,fft_peak,1.0,0.578
fmcw,-2.1428571428571423,iq_energy,1.0,0.008
fmcw,-2.1428571428571423,probabilistic,0.876,0.008
fmcw,0.0,cnn,1.0,1.0
fmcw,0.0,fft_peak,1.0,0.582
fmcw,0.0,iq_energy,1.0,0.008
fmcw,0.0,probabilistic,0.984,0.008
fmcw,2.1428571428571423,cnn,1.0,1.0
fmcw,2.1428571428571423,fft_peak,1.0,0.546
fmcw,2.1428571428571423,iq_energy,1.0,0.004
fmcw,2.1428571428571423,probabilistic,1.0,0.006
fmcw,4.285714285714285,cnn,1.0,1.0
fmcw,4.285714285714285,fft_peak,1.0,0.566
fmcw,4.285714285714285,iq_energy,1.0,0.01
fmcw,4.285714285714285,probabilistic,1.0,0.006
fmcw,6.428571428571427,cnn,1.0,1.0
fmcw,6.428571428571427,fft_peak,1.0,0.594
fmcw,6.428571428571427,iq_energy,1.0,0.01
fmcw,6.428571428571427,probabilistic,1.0,0.006
fmcw,8.57142857142857,cnn,1.0,1.0
fmcw,8.57142857142857,fft_peak,1.0,0.566
fmcw,8.57142857142857,iq_energy,1.0,0.012
fmcw,8.57142857142857,probabilistic,1.0,0.006
