Pd,Pfa,total_scans,total_switches,rf_utilization,ir_utilization,mean_aoi,max_aoi,latency_mean,latency_p95,scenario,scheduler,seed
0.0,0.12260536398467432,261,0,1.0,0.0,0.0,0.0,6.998855212280342e-06,1.4250006643123913e-05,A_STATIC,Random,42
0.0,0.1856060606060606,264,0,1.0,0.0,0.0,0.0,1.2427169932843238e-05,1.6840000171214335e-05,A_STATIC,Random,43
0.0,0.14606741573033707,267,0,1.0,0.0,0.0,0.0,2.018992560820084e-05,2.961500285891809e-05,A_STATIC,Random,44
0.0,0.1520912547528517,263,0,1.0,0.0,0.0,0.0,6.671742448816076e-05,1.6764996689744288e-05,A_STATIC,Random,45
0.0,0.16417910447761194,268,0,1.0,0.0,0.0,0.0,9.417472366974118e-06,2.364000538364052e-05,A_STATIC,Random,46
0.0,0.12643678160919541,261,0,1.0,0.0,0.0,0.0,2.180000003747187e-05,2.8795000980608164e-05,A_STATIC,Random,47
0.0,0.1417910447761194,268,0,1.0,0.0,0.0,0.0,3.378066984282246e-05,2.8239996754564342e-05,A_STATIC,Random,48
0.0,0.1471698113207547,265,0,1.0,0.0,0.0,0.0,1.8515788991165283e-05,9.957499423762783e-05,A_STATIC,Random,49
0.0,0.13636363636363635,264,0,1.0,0.0,0.0,0.0,2.8954340169153544e-05,4.972000024281427e-05,A_STATIC,Random,50
0.0,0.15708812260536398,261,0,1.0,0.0,0.0,0.0,0.0001946599233272585,8.696999648236659e-05,A_STATIC,Random,51
0.0,0.156,250,0,1.0,0.0,0.0,0.0,4.806175324286657e-05,1.580000389367342e-05,A_STATIC,RoundRobin,42
0.0,0.164,250,0,1.0,0.0,0.0,0.0,8.4239042311187e-06,1.1800002539530396e-05,A_STATIC,RoundRobin,43
0.0,0.128,250,0,1.0,0.0,0.0,0.0,2.8700797018071868e-05,1.030000566970557e-05,A_STATIC,RoundRobin,44
0.0,0.128,250,0,1.0,0.0,0.0,0.0,8.505976337297594e-06,6.550006219185889e-06,A_STATIC,RoundRobin,45
0.0,0.168,250,0,1.0,0.0,0.0,0.0,3.2111551321345378e-06,6.900001608300954e-06,A_STATIC,RoundRobin,46
0.0,0.148,250,0,1.0,0.0,0.0,0.0,1.5357769276683342e-05,6.400005077011883e-06,A_STATIC,RoundRobin,47
0.0,0.156,250,0,1.0,0.0,0.0,0.0,2.716335343230382e-06,5.200003215577453e-06,A_STATIC,RoundRobin,48
0.0,0.136,250,0,1.0,0.0,0.0,0.0,4.890438902518337e-06,6.000002031214535e-06,A_STATIC,RoundRobin,49
0.0,0.144,250,0,1.0,0.0,0.0,0.0,3.3557770515892253e-06,5.900001269765198e-06,A_STATIC,RoundRobin,50
0.0,0.16,250,0,1.0,0.0,0.0,0.0,3.874901263785374e-06,7.2499969974160194e-06,A_STATIC,RoundRobin,51
0.0,0.9919354838709677,496,0,1.0,0.0,0.0,0.0,8.01909457218985e-05,5.587999767158176e-05,A_STATIC,Greedy,42
0.0,0.9919191919191919,495,0,1.0,0.0,0.0,0.0,4.848568603906202e-05,8.099999831756577e-05,A_STATIC,Greedy,43
0.0,1.0,500,0,1.0,0.0,0.0,0.0,4.6361876015426843e-05,0.00010059999476652592,A_STATIC,Greedy,44
0.0,0.9816700610997964,491,0,1.0,0.0,0.0,0.0,2.6596747974087145e-05,5.0575000204844384e-05,A_STATIC,Greedy,45
0.0,0.9878542510121457,494,0,1.0,0.0,0.0,0.0,2.9383232461928267e-05,4.550999728962776e-05,A_STATIC,Greedy,46
0.0,0.9979919678714859,498,0,1.0,0.0,0.0,0.0,9.139699400411937e-05,6.202000513439994e-05,A_STATIC,Greedy,47
0.0,0.9919354838709677,496,0,1.0,0.0,0.0,0.0,2.9124748410321622e-05,4.58399998024106e-05,A_STATIC,Greedy,48
0.0,0.9878296146044625,493,0,1.0,0.0,0.0,0.0,3.100040475135624e-05,5.171999582671556e-05,A_STATIC,Greedy,49
0.0,0.9959758551307847,497,0,1.0,0.0,0.0,0.0,3.428032151755342e-05,7.801999745424835e-05,A_STATIC,Greedy,50
0.0,0.98989898989899,495,0,1.0,0.0,0.0,0.0,3.706874987631548e-05,9.690000661066733e-05,A_STATIC,Greedy,51
0.0,0.20717131474103587,251,0,1.0,0.0,0.0,0.0,5.626388808614426e-05,0.00010338999636587682,A_STATIC,EarliestAoI,42
0.0,0.212,250,0,1.0,0.0,0.0,0.0,2.7883665409380666e-05,3.5700002626981586e-05,A_STATIC,EarliestAoI,43
0.0,0.199203187250996,251,0,1.0,0.0,0.0,0.0,1.1214683105381915e-05,1.990500604733824e-05,A_STATIC,EarliestAoI,44
0.0,0.188,250,0,1.0,0.0,0.0,0.0,1.1578485575148399e-05,2.6249996153637767e-05,A_STATIC,EarliestAoI,45
0.0,0.22,250,0,1.0,0.0,0.0,0.0,1.5939441852761337e-05,3.8700003642588854e-05,A_STATIC,EarliestAoI,46
0.0,0.208,250,0,1.0,0.0,0.0,0.0,1.141992031199583e-05,2.3600005079060793e-05,A_STATIC,EarliestAoI,47
0.0,0.224,250,0,1.0,0.0,0.0,0.0,2.4011952116569706e-05,2.5749992346391082e-05,A_STATIC,EarliestAoI,48
0.0,0.212,250,0,1.0,0.0,0.0,0.0,1.2652590324493696e-05,3.085000207647681e-05,A_STATIC,EarliestAoI,49
0.0,0.204,250,0,1.0,0.0,0.0,0.0,9.557768594440207e-06,2.2499996703118086e-05,A_STATIC,EarliestAoI,50
0.0,0.208,250,0,1.0,0.0,0.0,0.0,1.0432669335412255e-05,2.0199993741698563e-05,A_STATIC,EarliestAoI,51
0.0,0.7914572864321608,398,0,1.0,0.0,0.0,0.0,4.8508771921608384e-05,4.8570004582870695e-05,A_STATIC,UCB1,42
0.0,0.7980049875311721,401,0,1.0,0.0,0.0,0.0,2.1833830765872472e-05,4.116499403608031e-05,A_STATIC,UCB1,43
0.0,0.794044665012407,403,0,1.0,0.0,0.0,0.0,1.969925715186919e-05,4.0794994856696484e-05,A_STATIC,UCB1,44
0.0,0.7934508816120907,397,0,1.0,0.0,0.0,0.0,1.8487688816203994e-05,3.266000130679457e-05,A_STATIC,UCB1,45
0.0,0.7774869109947644,382,0,1.0,0.0,0.0,0.0,4.0163446671278376e-05,6.730000313837081e-05,A_STATIC,UCB1,46
0.0,0.7955112219451371,401,0,1.0,0.0,0.0,0.0,7.263855756415676e-05,0.00015178000830928787,A_STATIC,UCB1,47
0.0,0.7878787878787878,396,0,1.0,0.0,0.0,0.0,9.890453433541707e-05,0.00016161999956239008,A_STATIC,UCB1,48
0.0,0.7960199004975125,402,0,1.0,0.0,0.0,0.0,5.5568237562499776e-05,0.00011235999845666805,A_STATIC,UCB1,49
0.0,0.7889447236180904,398,0,1.0,0.0,0.0,0.0,4.054235572661775e-05,5.976000102236858e-05,A_STATIC,UCB1,50
0.0,0.7893401015228426,394,0,1.0,0.0,0.0,0.0,0.00010825898785651013,0.0001758000071276907,A_STATIC,UCB1,51
0.0,0.9602510460251046,478,0,1.0,0.0,0.0,0.0,5.2749478028035314e-05,9.426000178791577e-05,A_STATIC,UCBTuned,42
0.0,0.9578059071729957,474,0,1.0,0.0,0.0,0.0,0.00021371368419893674,0.00012140000471845246,A_STATIC,UCBTuned,43
0.0,0.9625,480,0,1.0,0.0,0.0,0.0,6.087921000000577e-05,0.00011010000889655203,A_STATIC,UCBTuned,44
0.0,0.96,475,0,1.0,0.0,0.0,0.0,6.958991581399948e-05,0.00015434999295393936,A_STATIC,UCBTuned,45
0.0,0.9555084745762712,472,0,1.0,0.0,0.0,0.0,9.726617338473517e-05,0.00022382000170182418,A_STATIC,UCBTuned,46
0.0,0.9625,480,0,1.0,0.0,0.0,0.0,8.255966719149916e-05,0.00012700000661425292,A_STATIC,UCBTuned,47
0.0,0.9625,480,0,1.0,0.0,0.0,0.0,0.00014143596673645698,0.0002837999927578494,A_STATIC,UCBTuned,48
0.0,0.9625,480,0,1.0,0.0,0.0,0.0,0.00010856049888759557,0.0002423999976599589,A_STATIC,UCBTuned,49
