experiment_name,total_observations,total_hits,total_misses,total_false_alarms,total_correct_rejections,total_time_consumed,hit_rate,false_alarm_rate,scheduler,seed,scenario
baseline_single_round_robin_seed42,167,16,0,7,144,501,1.0,0.046357615894039736,round_robin,42,periodic
baseline_single_round_robin_seed43,167,16,0,8,143,501,1.0,0.052980132450331126,round_robin,43,periodic
baseline_single_round_robin_seed44,167,16,0,6,145,501,1.0,0.039735099337748346,round_robin,44,periodic
baseline_single_round_robin_seed45,167,16,0,4,147,501,1.0,0.026490066225165563,round_robin,45,periodic
baseline_single_round_robin_seed46,167,16,0,9,142,501,1.0,0.059602649006622516,round_robin,46,periodic
baseline_single_ucb_seed42,228,188,0,1,39,501,1.0,0.025,ucb,42,periodic
baseline_single_ucb_seed43,226,182,0,4,40,500,1.0,0.09090909090909091,ucb,43,periodic
baseline_single_ucb_seed44,228,188,0,1,39,500,1.0,0.025,ucb,44,periodic
baseline_single_ucb_seed45,227,186,0,2,39,500,1.0,0.04878048780487805,ucb,45,periodic
baseline_single_ucb_seed46,223,177,0,5,41,500,1.0,0.10869565217391304,ucb,46,periodic
baseline_single_aoi_seed42,167,16,0,7,144,501,1.0,0.046357615894039736,aoi,42,periodic
baseline_single_aoi_seed43,167,16,0,8,143,501,1.0,0.052980132450331126,aoi,43,periodic
baseline_single_aoi_seed44,167,16,0,6,145,501,1.0,0.039735099337748346,aoi,44,periodic
baseline_single_aoi_seed45,167,16,0,4,147,501,1.0,0.026490066225165563,aoi,45,periodic
baseline_single_aoi_seed46,167,16,0,9,142,501,1.0,0.059602649006622516,aoi,46,periodic
baseline_single_predictive_ucb_seed42,232,203,0,1,28,500,1.0,0.034482758620689655,predictive_ucb,42,periodic
baseline_single_predictive_ucb_seed43,233,204,0,1,28,501,1.0,0.034482758620689655,predictive_ucb,43,periodic
baseline_single_predictive_ucb_seed44,233,205,0,0,28,500,1.0,0.0,predictive_ucb,44,periodic
baseline_single_predictive_ucb_seed45,233,204,0,1,28,501,1.0,0.034482758620689655,predictive_ucb,45,periodic
baseline_single_predictive_ucb_seed46,231,201,0,2,28,500,1.0,0.06666666666666667,predictive_ucb,46,periodic
baseline_single_rl_seed42,250,249,0,0,1,501,1.0,0.0,rl,42,periodic
baseline_single_rl_seed43,250,249,0,0,1,501,1.0,0.0,rl,43,periodic
baseline_single_rl_seed44,250,249,0,0,1,501,1.0,0.0,rl,44,periodic
baseline_single_rl_seed45,250,249,0,0,1,501,1.0,0.0,rl,45,periodic
baseline_single_rl_seed46,250,249,0,0,1,501,1.0,0.0,rl,46,periodic
